,Name Kiste,Medientyp (Konvulut),Ressourcentyp,Titel (Konvulut),Beschreibung Konvolut,Ausstellungstitel 1,Untertitel 1,Ausstellung (GND),Ausstellungstitel 2,Untertitel 2,Ausstellungstyp 1,Ausstellungskategorie 1,Ausstellungstyp 2,Ausstellungskategorie ,Serie/Veranstaltungsreihe,Serie/Veranstaltungsreihe (GND),Genre 1,Genre 1 (GND),Genre 2,Genre 2 (GND),Genre 3,Genre 3 (GND),Genre 4,Genre 4 (GND),Genre 5,Genre 5 (GND),Ort der Ausstellung (geografisch) 1,Ort der Ausstellung (geografisch) 1 (GND),Ort der Ausstellung (geografisch) 2,Ort der Ausstellung (geografisch) 2 (GND),Ort der Ausstellung (geografisch) 3,Ort der Ausstellung (geografisch) 3 (GND),Ort der Ausstellung (geografisch) 4,Ort der Ausstellung (geografisch) 4 (GND),Ort der Ausstellung (Institution) 1,Ort der Ausstellung (Institution) (GND)1,Ort der Ausstellung (Institution) 2,Ort der Ausstellung (Institution) 3,Ort der Ausstellung (Institution) 4,Ort der Ausstellung (Institution) 5,Ort der Ausstellung (Institution) 6,Ort der Ausstellung (Institution) 7,Aktuell Ort der Ausstellung (Institution) 1,Aktuell Ort der Ausstellung (Institution) 2,Aktuell Ort der Ausstellung (Institution) 3,Erscheinungsort,Originaltitel,Beteiligte Person 1 (Name),Beteiligte Person 1 (GND-Nummer),Beteiligte Person 1 (Rolle 1),Beteiligte Person 1 (Rolle 2),Beteiligte Person 2 (Name),Beteiligte Person 2 (GND-Nummer),Beteiligte Person 2 (Rolle 1),Beteiligte Person 3,Rolle,Beteiligte Person 4,Rolle,Beteiligte Person 5,Rolle,Beteiligte Person 6,Rolle,Beteiligte Person 7,Rolle,Beteiligte Person 7,Rolle,Beteiligte Person 8,Rolle,Beteiligte Person 9,Rolle,Beteiligte Person 10,Rolle,Beteiligte Person 11,Rolle,Beteiligte Person 12,Rolle,Beteiligte Person 13,Rolle,Beteiligte Person 14,Rolle,Beteiligte Person 15,Rolle,Beteiligte Person 16,Rolle,Beteiligte Person 17,Rolle,Beteiligte Person 18,Rolle,Beteiligte Person 19,Rolle,Beteiligte Person 20,Rolle,Beteiligte Person 21,Rolle,Beteiligte Person 22,Rolle,Beteiligte Person 23,Rolle,Beteiligte Person 24,Rolle,Beteiligte Person 25,Rolle,Beteiligte Person 26,Rolle,Beteiligte Person 27,Rolle,Beteiligte Person 28,Rolle,Beteiligte Person 29,Rolle,Beteiligte Person 30,Rolle,Beteiligte Person 31,Rolle,Beteiligte Person 32,Rolle,Beteiligte Person 33,Rolle,Beteiligte Person 34,Rolle,Beteiligte Person 35,Rolle,Beteiligte Person 36,GND,Rolle,Beteiligte Person 37,Rolle,Beteiligte Person 38,Rolle,Beteiligte Person 39,Rolle,Beteiligte Person 40,Rolle,Beteiligte Person 41,Rolle,Beteiligte Person 42,Rolle,Beteiligte Person 43,Rolle,Beteiligte Person 44,Rolle,Beteiligte Person 45,Rolle,Beteiligte Person 46,Rolle,Beteiligte Person 47,Rolle,Beteiligte Person 48,Rolle,Beteiligte Person 49,Rolle,Beteiligte Person 50,Rolle,Beteiligte Person 51,Rolle,Beteiligte Person 52,Rolle,Beteiligte Person 53,Rolle,Beteiligte Person 54,Rolle,Beteiligte Körperschaft 1,Rolle,Beteiligte Körperschaft 2,,Viaf,Rolle,Beteiligte Körperschaft 3,Rolle,Beteiligte Körperschaft 4,Rolle,Beteiligte Körperschaft 5,Rolle,Beteiligte Körperschaft 6,Rolle,Beteiligte Körperschaft 7,Rolle,Beteiligte Körperschaft 8,Rolle,Aktuell Beteiligte Körperschaft 1,Aktuell Beteiligte Körperschaft 2,Aktuell Beteiligte Körperschaft 3,Zusatz Beteiligte Körperschaft 1,Datierung,Widmung F. C. Gundlach,Widmung Andere,Ausstellungsdatum (von...) 1,Tag,Monat,Jahr,Ausstellungsdatum (...bis) 1,Tag,Monat,Jahr,"Weitere Datumsangaben (Vernissage, Finissage, ...) 1",Tag,Monat,Jahr,Ausstellungsdatum (von...) 2,Tag,Monat,Jahr,Ausstellungsdatum (...bis) 2,Tag,Monat,Jahr,"Weitere Datumsangaben (Vernissage, Finissage, ...) 2",Tag,Monat,Jahr,Ausstellungsdatum (von...) 3,Tag,Monat,Jahr,Ausstellungsdatum (...bis) 3,Tag,Monat,Jahr,"Weitere Datumsangaben (Vernissage, Finissage, ...) 3",Tag,Monat,Jahr,Ausstellungsdatum (von...) 4,Tag,Monat,Jahr,Ausstellungsdatum (...bis) 4,Tag,Monat,Jahr,"Weitere Datumsangaben (Vernissage, Finissage, ...) 4",Tag,Monat,Jahr,Schlagwort 1,Schlagwort 2,Schlagwörter 3,Schlagwörter 4,Schlagwort 5,Schlagwort 6,Beschreibung,Sprache 1,Sprache 2,Sprache 3,Signatur,RVK-Notation,K10PlusPPN,SWB-ID,Sachgebiet/SSG Nummer/FID-Kennzeichen ,Permalink,DOI-Digitalisat ,Weblink/URL,Ressource
https://gagosian.com/exhibitions/2013/works-of-the-jenney-archive/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Works of the Jenney Archive, Gagosian Gallery, 7.3.2013 -  27.4.2013",Works of the Jenney Archive,,,,,Einzelausstellung,Sonderausstellung,,,,,Malerei,4037220-0,,,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Jenney, Neil",120360500,Künstler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,7,3,2013,,27,4,2013,Vernissage,7,3,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Malerei,,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2008/prefab/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Prefab: Richard Artschwager, Alighiero E Boetti, Mike Kelley, Martin Kippenberger, Jeff Koons, Sherrie Levine, Richard Prince, Rudolf Stingel, Rosemarie Trockel, Gagosian Gallery, 26.2.2008 -  19.4.2008",Prefab,"Richard Artschwager, Alighiero E Boetti, Mike Kelley, Martin Kippenberger, Jeff Koons, Sherrie Levine, Richard Prince, Rudolf Stingel, Rosemarie Trockel",,,,Gruppenausstellung,Sonderausstellung,,,,,Malerei,4037220-0,Objektkunst,4131740-3,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Artschwager, Richard",118848127,Künstler:in,,"Boetti, Alighiero",118852418,Künstler:in,"Kelley, Mike",Künstler:in,"Kippenberger, Martin",Künstler:in,"Koons, Jeff",Künstler:in,"Levine, Sherrie",Künstler:in,"Prince, Richard",Künstler:in,"Stingel, Rudolf",Künstler:in,"Trockel, Rosemarie",Künstler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,26,2,2008,,19,4,2008,Vernissage,26,2,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Malerei,Objektkunst,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2007/paul-noble-dot-to-dot/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Paul Noble. Dot to Dot, Gagosian Gallery, 20.9.2007 -  27.10.2007",Paul Noble. Dot to Dot,,10203782-6,,,Einzelausstellung,Sonderausstellung,,,,,Grafik,4021845-4,Keramik,4030270-2,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Noble, Paul",119405202,Künstler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,20,9,2007,,27,10,2007,Vernissage,20,9,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Grafik,Keramik,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2007/douglas-gordon-self-portrait-of-you-me-after-the-factory/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Douglas Gordon - self-portrait of you + me, after the factory, Gagosian Gallery, 31.10.2007 -  15.12.2007","Douglas Gordon - self-portrait of you + me, after the factory",,,,,Einzelausstellung,Sonderausstellung,,,,,Fotografie,4045895-7,,,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Gordon, Douglas",120994011,Künstler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,31,10,2007,,15,12,2007,Vernissage,31,10,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Fotografie,,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2012/ed-ruscha/,New York,Blatt/unbewegtes B ../../manifestation/exhibition/import/ild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Ed Ruscha, Gagosian Gallery, 7.11.2012 -  12.1.2013",Ed Ruscha,,,,,Einzelausstellung,Sonderausstellung,,,,,Malerei,4037220-0,Objektkunst,4131740-3,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Ruscha, Ed",119255588,Künstler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,7,11,2012,,12,1,2013,Vernissage,7,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Malerei,Objektkunst,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2003/richard-serra-wake-blindspot-catwalk-vice-versa/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Richard Serra - Wake, Blindspot, Catwalk, Vice-Versa , Gagosian Gallery, 20.9.2003 -  25.10.2003","Richard Serra - Wake, Blindspot, Catwalk, Vice-Versa ",,,,,Einzelausstellung,Sonderausstellung,,,,,Plastik,4046277-8,,,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Serra, Richard",118796267,Künstler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,20,9,2003,,25,10,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Plastik,,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2012/richard-phillips/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Richard Phillips, Gagosian Gallery, 11.9.2012 -  20.10.2012",Richard Phillips,,,,,Einzelausstellung,Sonderausstellung,,,,,Malerei,4037220-0,,,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Phillips, Richard",122410483,Maler:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,11,9,2012,,20,10,2012,Vernissage,11,9,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Malerei,,,,,,Englisch,,,,,,,,,,,
https://gagosian.com/exhibitions/2013/painted-on-21st-street-helen-frankenthaler-from-1950-to-1959/,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Painted on 21st street - Helen Frankenthaler: from 1950 to 1959, Gagosian Gallery, 8.3.2013 -  13.4.2013",Painted on 21st street - Helen Frankenthaler,from 1950 to 1959,,,,Einzelausstellung,Sonderausstellung,,,,,Malerei,4037220-0,,,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Elderfield, John",104959486X,Kurator:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,The Estate of Helen Frankenthaler,,,Kooperationspartner,,,,,,,,,,,,,,,,,,,,,8,3,2013,,13,4,2013,Vernissage,8,3,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Malerei,,,,,,Englisch,,,,,,,,,,,
,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Richard Serra - New Sculpture, Gagosian Gallery, 26.10.2013 -  25.1.2014",Richard Serra - New Sculpture,,,,,Einzelausstellung,Sonderausstellung,,,,,Plastik,4046277-8,,,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Serra, Richard",118796267,Bildhauer:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,,,,,,,,,,,,,,,,,,,,,,,,,26,10,2013,,25,1,2014,Vernissage,25,10,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Plastik,,,,,,Englisch,,,,,,,,,,,
,New York,Blatt/unbewegtes Bild,Flyer,[Konvolut Ausstellungsephemera New York - Gagosian Gallery],"Renzo Piano Building Workshop : Fragments, Gagosian Gallery, 27.6.2013 -  2.8.2013",Renzo Piano Building Workshop ,Fragments,,,,Einzelausstellung,Sonderausstellung,,,,,Architektur,4002851-3,Fotografie,4045895-7,,,,,,,New York,4042011-5,,,,,,,Gagosian Gallery,1224078-3,,,,,,,,,,,,"Piano, Renzo",11889787X,Architekt:in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gagosian Gallery,Veranstalter,Fondazione Renzo Piano,,,Kooperationspartner,Renzo Piano Building Workshop,Architekturbüro,,,,,,,,,,,,,,,,,,,27,6,2013,,2,8,2013,Vernissage,27,6,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flyer,Architektur,Fotografie,,,,,Englisch,,,,,,,,,,,
